# PROJECT 2 - QUESTION 1
set Customers := 1, 2, 3, 4, 5;

set Locations := 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;

param d :=
1	29
2	28
3	36
4	22
5	24
;

param c := 
[1,1]	16
[1,2]	11
[1,3]	16
[1,4]	4
[1,5]	3
[1,6]	10
[1,7]	7
[1,8]	4
[1,9]	15
[1,10]	14
[2,1]	7
[2,2]	12
[2,3]	5
[2,4]	11
[2,5]	14
[2,6]	1
[2,7]	12
[2,8]	7
[2,9]	10
[2,10]	3
[3,1]	6
[3,2]	11
[3,3]	4
[3,4]	20
[3,5]	23
[3,6]	10
[3,7]	21
[3,8]	16
[3,9]	17
[3,10]	6
[4,1]	15
[4,2]	14
[4,3]	15
[4,4]	3
[4,5]	4
[4,6]	9
[4,7]	2
[4,8]	5
[4,9]	8
[4,10]	13
[5,1]	9
[5,2]	14
[5,3]	5
[5,4]	21
[5,5]	24
[5,6]	11
[5,7]	22
[5,8]	17
[5,9]	18
[5,10]	7
;

param a :=
[1,1]	0.201896518
[1,2]	0.3328710837
[1,3]	0.201896518
[1,4]	0.670320046
[1,5]	0.7408182207
[1,6]	0.3678794412
[1,7]	0.4965853038
[1,8]	0.670320046
[1,9]	0.2231301601
[1,10]	0.2465969639
[2,1]	0.4965853038
[2,2]	0.3011942119
[2,3]	0.6065306597
[2,4]	0.3328710837
[2,5]	0.2465969639
[2,6]	0.904837418
[2,7]	0.3011942119
[2,8]	0.4965853038
[2,9]	0.3678794412
[2,10]	0.7408182207
[3,1]	0.5488116361
[3,2]	0.3328710837
[3,3]	0.670320046
[3,4]	0.1353352832
[3,5]	0.1002588437
[3,6]	0.3678794412
[3,7]	0.1224564283
[3,8]	0.201896518
[3,9]	0.1826835241
[3,10]	0.5488116361
[4,1]	0.2231301601
[4,2]	0.2465969639
[4,3]	0.2231301601
[4,4]	0.7408182207
[4,5]	0.670320046
[4,6]	0.4065696597
[4,7]	0.8187307531
[4,8]	0.6065306597
[4,9]	0.4493289641
[4,10]	0.272531793
[5,1]	0.4065696597
[5,2]	0.2465969639
[5,3]	0.6065306597
[5,4]	0.1224564283
[5,5]	0.09071795329
[5,6]	0.3328710837
[5,7]	0.1108031584
[5,8]	0.1826835241
[5,9]	0.1652988882
[5,10]	0.4965853038
;

param f :=
1000
;

param r :=
100
;

param k :=
40
;

